Index       TIME            V(SUPPLY)           V(VI)            V(VOUT)          {-I(VDD)}       {-I(VINPUT)}   
120      1.17000000e-06    9.00000000e-01   -4.00000000e-01    9.00003143e-01   -7.45459701e-09    8.28403305e-09
121      1.18000000e-06    9.00000000e-01   -3.00000000e-01    9.00003320e-01   -7.41543608e-09    8.24322832e-09
122      1.19000000e-06    9.00000000e-01   -2.00000000e-01    9.00003168e-01   -7.06095035e-09    8.19817669e-09
123      1.20000000e-06    9.00000000e-01   -1.00000000e-01    8.99998085e-01   -1.97659268e-09    8.08942154e-09
124      1.21000000e-06    9.00000000e-01    0.00000000e+00    8.99993002e-01    3.10776499e-09    7.98066639e-09
125      1.22000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03679781e-08   -3.15347718e-14
126      1.23000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681159e-08   -1.68048608e-13
127      1.24000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22655863e-13
128      1.25000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22658730e-13
129      1.26000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22661597e-13
130      1.27000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22662476e-13
131      1.28000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22660371e-13
132      1.29000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22658267e-13
133      1.30000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22656162e-13
134      1.31000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22654058e-13
135      1.32000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22651954e-13
136      1.33000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22649849e-13
137      1.34000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22651380e-13
138      1.35000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22652911e-13
139      1.36000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22654442e-13
140      1.37000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22655973e-13
141      1.38000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22657504e-13
142      1.39000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22659034e-13
143      1.40000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22660565e-13
144      1.41000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22662096e-13
145      1.42000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22663627e-13
146      1.43000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22665158e-13
147      1.44000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22666689e-13
148      1.45000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22668220e-13
149      1.46000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22668118e-13
150      1.47000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22661484e-13
151      1.48000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22654850e-13
152      1.49000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22648217e-13
153      1.50000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22641583e-13
154      1.50000000e-06    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22641583e-13
End of Xyce(TM) Simulation
