Index       TIME             V(VDD)            V(VIN)           V(VOUT1)          V(VOUT2)          V(VOUT3)          V(VOUT4)          V(VOUT5)          V(VOUT6)          V(VOUT7)          V(VOUT8)          V(VOUT9)          V(VOUT10)         V(VOUT11)         V(VOUT12)         {-I(VDD)}       {-I(VINPUT)}   
64       6.30000000e-07    1.00000000e+00   -2.00000000e-01    9.99996171e-01   -3.46382852e-06    9.99987566e-01   -2.58480332e-07    9.99987825e-01    1.38414507e-07    9.99987774e-01   -1.90534054e-08    9.99987641e-01   -1.58538264e-07    9.99987572e-01    8.87097691e-08    3.37330931e-07   -8.45363464e-09
65       6.40000000e-07    1.00000000e+00   -3.00000000e-01    9.99996753e-01    1.02854295e-06    9.99987782e-01    1.13334649e-07    9.99987708e-01    5.67681200e-12    9.99987722e-01    4.49738908e-08    9.99987760e-01    8.48077972e-08    9.99987780e-01    1.39973049e-08   -4.61583014e-09   -8.23055799e-09
66       6.50000000e-07    1.00000000e+00   -4.00000000e-01    9.99997293e-01    5.08365515e-06    9.99987977e-01    4.48959470e-07    9.99987601e-01   -1.24931151e-07    9.99987676e-01    1.02769094e-07    9.99987868e-01    3.04467758e-07    9.99987967e-01   -5.34431589e-08   -3.13275730e-07   -8.03286232e-09
67       6.60000000e-07    1.00000000e+00   -5.00000000e-01    9.99997229e-01    2.83767446e-06    9.99987869e-01    2.63068609e-07    9.99987660e-01   -5.57306695e-08    9.99987701e-01    7.07571677e-08    9.99987808e-01    1.82800886e-07    9.99987863e-01   -1.60909860e-08   -1.42257713e-07   -8.20091737e-09
68       6.70000000e-07    1.00000000e+00   -6.00000000e-01    9.99997165e-01    5.91693773e-07    9.99987761e-01    7.71777482e-08    9.99987719e-01    1.34698122e-08    9.99987727e-01    3.87452416e-08    9.99987749e-01    6.11340143e-08    9.99987760e-01    2.12611868e-08    2.87603029e-08   -8.36897241e-09
69       6.80000000e-07    1.00000000e+00   -7.00000000e-01    9.99997102e-01   -1.65428692e-06    9.99987652e-01   -1.08713113e-07    9.99987778e-01    8.26702938e-08    9.99987753e-01    6.73331545e-09    9.99987689e-01   -6.05328575e-08    9.99987656e-01    5.86133597e-08    1.99778319e-07   -8.53702746e-09
70       6.90000000e-07    1.00000000e+00   -8.00000000e-01    9.99997038e-01   -3.90026761e-06    9.99987544e-01   -2.94603974e-07    9.99987837e-01    1.51870775e-07    9.99987779e-01   -2.52786107e-08    9.99987629e-01   -1.82199729e-07    9.99987552e-01    9.59655325e-08    3.70796336e-07   -8.70508250e-09
71       7.00000000e-07    1.00000000e+00   -9.00000000e-01    9.99997211e-01   -2.01254826e-06    9.99987635e-01   -1.38363881e-07    9.99987787e-01    9.37037500e-08    9.99987757e-01    1.62946682e-09    9.99987679e-01   -7.99301562e-08    9.99987639e-01    6.45726899e-08    2.27106651e-07   -8.62856108e-09
72       7.10000000e-07    1.00000000e+00   -1.00000000e+00    9.99997691e-01    5.22804690e-06    9.99987985e-01    4.60913804e-07    9.99987597e-01   -1.29396010e-07    9.99987674e-01    1.04835162e-07    9.99987872e-01    3.12322718e-07    9.99987974e-01   -5.58405286e-08   -3.24109275e-07   -8.23532883e-09
73       7.10000000e-07    1.00000000e+00   -1.00000000e+00    9.99997691e-01    5.22804690e-06    9.99987985e-01    4.60913804e-07    9.99987597e-01   -1.29396010e-07    9.99987674e-01    1.04835162e-07    9.99987872e-01    3.12322718e-07    9.99987974e-01   -5.58405286e-08   -3.24109275e-07   -8.23532883e-09
74       7.20000000e-07    1.00000000e+00   -1.00000000e+00    9.99999851e-01    3.11832637e-08    9.99987733e-01    3.07818140e-08    9.99987734e-01    3.07437799e-08    9.99987734e-01    3.07542501e-08    9.99987734e-01    3.07624643e-08    9.99987734e-01    3.05830123e-08    6.38917043e-08   -8.89021565e-11
75       7.30000000e-07    1.00000000e+00   -1.00000000e+00    9.99999851e-01    3.09340337e-08    9.99987734e-01    3.07645162e-08    9.99987734e-01    3.07478774e-08    9.99987734e-01    3.07524572e-08    9.99987734e-01    3.07560501e-08    9.99987734e-01    3.05872389e-08    6.38912349e-08   -8.88487935e-11
76       7.40000000e-07    1.00000000e+00   -1.00000000e+00    9.99999851e-01    3.07402571e-08    9.99987734e-01    3.07510669e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510633e-08    9.99987734e-01    3.07510632e-08    9.99987734e-01    3.05905251e-08    6.38908700e-08   -8.88073035e-11
77       7.50000000e-07    1.00000000e+00   -1.00000000e+00    9.99999851e-01    3.07402438e-08    9.99987734e-01    3.07510645e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510632e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.05905254e-08    6.38908699e-08   -8.88073004e-11
78       7.60000000e-07    1.00000000e+00   -1.00000000e+00    9.99999851e-01    3.07402305e-08    9.99987734e-01    3.07510622e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510630e-08    9.99987734e-01    3.05905257e-08    6.38908699e-08   -8.88072973e-11
79       7.70000000e-07    1.00000000e+00   -1.00000000e+00    9.99999851e-01    3.07402172e-08    9.99987734e-01    3.07510599e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510630e-08    9.99987734e-01    3.07510630e-08    9.99987734e-01    3.05905260e-08    6.38908699e-08   -8.88072942e-11
80       7.80000000e-07    1.00000000e+00   -1.00000000e+00    9.99999851e-01    3.07402142e-08    9.99987734e-01    3.07510594e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510629e-08    9.99987734e-01    3.07510630e-08    9.99987734e-01    3.05905260e-08    6.38908699e-08   -8.88072935e-11
81       7.90000000e-07    1.00000000e+00   -1.00000000e+00    9.99999851e-01    3.07402209e-08    9.99987734e-01    3.07510605e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510630e-08    9.99987734e-01    3.07510630e-08    9.99987734e-01    3.05905259e-08    6.38908699e-08   -8.88072951e-11
82       8.00000000e-07    1.00000000e+00   -1.00000000e+00    9.99999851e-01    3.07402276e-08    9.99987734e-01    3.07510617e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510630e-08    9.99987734e-01    3.07510630e-08    9.99987734e-01    3.05905257e-08    6.38908699e-08   -8.88072966e-11
83       8.10000000e-07    1.00000000e+00   -1.00000000e+00    9.99999851e-01    3.07402342e-08    9.99987734e-01    3.07510628e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510630e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.05905256e-08    6.38908699e-08   -8.88072982e-11
84       8.20000000e-07    1.00000000e+00   -1.00000000e+00    9.99999851e-01    3.07402409e-08    9.99987734e-01    3.07510640e-08    9.99987734e-01    3.07510630e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.05905254e-08    6.38908699e-08   -8.88072997e-11
